user_id,round_idx,song_id,rating
U0002,1,2t8yVaLvJ0RenpXUIAC52d,5
U0002,2,3s7MCdXyWmwjdcWh7GWXas,5
U0002,3,2EEeOnHehOozLq4aS0n6SL,3
U0002,4,3jbT1Y5MoPwEIpZndDDwVq,2
U0002,5,2hnMS47jN0etwvFPzYk11f,1
U0002,6,7xoUc6faLbCqZO6fQEYprd,3
U0002,7,0OTO8ZF2YqFQVw9hnZylTd,5
U0002,8,6rmXhRIemCTPyMYZRDN7Qg,2
U0002,9,244AvzGQ4Ksa5637JQu5Gy,1
U0002,10,7F25roCtYi55JouckaayPC,1
U0002,11,380HmhwTE2NJgawn1NwkXi,2
U0002,12,6rUp7v3l8yC4TKxAAR5Bmx,3
U0002,13,2qhASBzpbFhPRtrnZ5lLnz,3
U0002,14,00Blm7zeNqgYLPtW6zg8cj,5
U0002,15,4Of7rzpRpV1mWRbhp5rAqG,2
U0002,16,3zU9rdflI65tK4dkkNSp77,2
