user_id,round_idx,song_id,track_name,rating
U0003,1,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,5
U0003,2,5EWPGh7jbTNO2wakv8LjUI,Free Bird,5
U0003,3,4VqPOruhp5EdPBeR92t6lQ,Uprising,4
U0003,4,5awDvzxWfd53SSrsRZ8pXO,Du Hast,4
U0003,5,40hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,4
U0003,6,0YammaEkYSeo9vQYZ1OwS6,Say My Name,1
U0003,7,37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,4
U0003,8,3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,2
U0003,9,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,3
U0003,10,5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,3
U0003,11,5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,4
U0003,12,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,5
U0003,13,7vggqxNKwd6xdRoYS0pQtM,Three Little Birds,5
U0003,14,4fouWK6XVHhzl78KzQ1UjL,abcdefu,1
U0003,15,59WN2psjkt1tyaxjspN8fp,Killing In The Name,4
U0003,16,6bNB5gxFX6Q87DbQWb8OWZ,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),5
U0003,17,2LMkwUfqC6S6s6qDVlEuzV,White Ferrari,4
U0003,18,1Cj2vqUwlJVG27gJrun92y,The Sound of Silence,5
U0003,19,6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,5
U0003,20,6n4U3TlzUGhdSFbUUhTvLP,Walk It Talk It,1

